district	total_area	repair	year	distance	cost
1.0	77	-1	1	3	0.31
2.0	43	0	30	7	0.299
1.0	48	-1	32	6	0.32
1.0	52	0	44	3	0.355
2.0	48	0	26	9	0.293
1.0	65	0	19	3	0.389
2.0	42	0	41	5	0.2299
1.0	53	0	34	2	0.3768
1.0	45	-1	45	3	0.33
1.0	36	0	44	2	0.315
1.0	48	-1	27	3	0.349
1.0	44	0	50	5	0.285
1.0	42	0	44	5	0.319
3.0	48	0	32	5	0.295
3.0	71	-1	3	10	0.395
2.0	55	-1	2	4	0.369
3.0	63	-1	3	10	0.348
1.0	43	-1	57	4	0.2399
3.0	50	0	57	12	0.209
2.0	43	0	55	2	0.275
1.0	56	-1	64	3	0.4099999
3.0	67	0	2	8	0.446
2.0	57	-1	38	6	0.304
1.0	47	0	65	5	0.31
1.0	43	0	47	8	0.36
1.0	61	-1	0	4	0.435
1.0	61	-1	0	3	0.435
2.0	45	0	0	10	0.29
1.0	57	0	10	3	0.519
3.0	45	0	31	11	0.263
2.0	52	-1	26	6	0.27
3.0	43	-1	50	18	0.19
2.0	52	0	8	10	0.32799999999999996
1.0	48	0	31	4	0.312
2.0	57	0	5	15	0.374
2.0	55	0	62	2	0.295
2.0	48	0	33	3	0.31
1.0	56	-1	65	3	0.4099999
2.0	47	0	34	6	0.29
2.0	50	0	13	8	0.27899999999999997
1.0	55	-1	57	2	0.32
1.0	36	0	45	8	0.253
3.0	43	0	55	11	0.23800000000000002
2.0	44	-1	42	1	0.35
2.0	52	0	44	4	0.32899999999999996
3.0	68	0	16	10	0.35
2.0	67	-1	0	7	0.34905
2.0	47	-1	38	3	0.309
1.0	38	0	43	5	0.285
1.0	54	0	50	4	0.3499
1.0	44	0	50	3	0.326
1.0	48	0	24	3	0.3749
1.0	42	-1	51	6	0.247
1.0	61	-1	63	4	0.499
